,id,dtm,value,corriente_1,voltaje,corriente_2,corriente_3,potencia_1,potencia_2,potencia_3,FP_1,FP_2,FP_3,frecuencia,building_id,sensor_id
0,2153366,2023-08-30 00:00:15,0.07,71.22,219.99,72.07,93.85,4.77,3.4,7.23,1.47,1.63,1.4,60.04,65,82
1,2153371,2023-08-30 00:00:30,0.06,70.6,220.41,71.95,89.59,4.3,3.43,6.82,1.52,1.62,1.4,59.97,65,82
2,2153374,2023-08-30 00:00:45,0.06,70.55,220.28,71.98,89.46,4.27,3.44,6.8,1.53,1.62,1.4,59.97,65,82
3,2153379,2023-08-30 00:01:00,0.06,70.58,220.17,71.93,89.7,4.28,3.42,6.83,1.52,1.62,1.4,59.97,65,82
4,2153382,2023-08-30 00:01:15,0.06,70.68,220.36,72.0,89.42,4.26,3.44,6.79,1.53,1.62,1.41,60.0,65,82
5,2153387,2023-08-30 00:01:30,0.06,70.8,220.52,72.24,90.21,4.3,3.45,6.92,1.52,1.62,1.4,60.04,65,82
6,2153390,2023-08-30 00:01:45,0.06,69.78,220.4,71.96,89.83,4.61,3.47,6.85,1.48,1.62,1.4,60.0,65,82
7,2153396,2023-08-30 00:02:00,0.06,69.66,220.49,72.0,89.77,4.54,3.47,6.83,1.49,1.62,1.41,60.04,65,82
8,2153400,2023-08-30 00:02:15,0.06,70.68,220.77,72.19,90.04,4.29,3.47,6.9,1.53,1.62,1.4,59.98,65,82
9,2153402,2023-08-30 00:02:30,0.06,70.8,220.62,72.06,89.85,4.29,3.46,6.87,1.53,1.62,1.4,60.0,65,82
10,2153406,2023-08-30 00:02:45,0.06,70.74,220.93,71.98,89.78,4.29,3.44,6.87,1.53,1.62,1.4,59.99,65,82
11,2153410,2023-08-30 00:03:00,0.06,70.84,220.72,72.1,89.82,4.29,3.47,6.87,1.53,1.62,1.4,60.01,65,82
12,2153414,2023-08-30 00:03:15,0.06,73.22,220.63,71.59,89.91,4.88,3.45,6.87,1.48,1.62,1.4,60.02,65,82
13,2153419,2023-08-30 00:03:30,0.07,74.02,220.04,71.77,94.51,5.39,3.45,7.33,1.43,1.62,1.39,60.02,65,82
14,2153424,2023-08-30 00:03:45,0.07,74.08,220.3,71.83,95.05,5.44,3.48,7.43,1.42,1.62,1.39,60.01,65,82
15,2153428,2023-08-30 00:04:00,0.07,74.21,220.42,71.89,94.58,5.45,3.51,7.39,1.43,1.61,1.39,59.99,65,82
16,2153430,2023-08-30 00:04:15,0.07,74.02,220.13,71.71,94.4,5.38,3.46,7.34,1.43,1.62,1.39,60.03,65,82
17,2153436,2023-08-30 00:04:30,0.07,74.1,220.4,71.85,94.27,5.39,3.47,7.3,1.43,1.62,1.39,60.04,65,82
18,2153438,2023-08-30 00:04:45,0.07,74.18,220.1,71.72,94.27,5.4,3.47,7.31,1.43,1.62,1.39,60.02,65,82
19,2153442,2023-08-30 00:05:00,0.07,71.63,220.89,71.84,93.89,4.85,3.48,7.32,1.47,1.62,1.39,59.99,65,82
20,2153446,2023-08-30 00:05:15,0.07,71.53,220.53,71.98,93.95,4.82,3.48,7.31,1.47,1.62,1.39,59.98,65,82
21,2153452,2023-08-30 00:05:30,0.07,71.76,220.2,71.82,93.98,4.88,3.48,7.32,1.47,1.62,1.39,59.96,65,82
22,2153455,2023-08-30 00:05:45,0.07,72.09,220.14,71.82,93.9,4.91,3.46,7.28,1.47,1.62,1.39,59.99,65,82
23,2153460,2023-08-30 00:06:00,0.07,71.99,220.45,71.35,93.82,4.95,3.49,7.29,1.46,1.61,1.39,59.99,65,82
24,2153462,2023-08-30 00:06:15,0.07,71.83,220.01,71.74,93.8,4.87,3.47,7.27,1.47,1.62,1.39,59.96,65,82
25,2153468,2023-08-30 00:06:30,0.06,78.96,220.39,72.3,86.82,3.8,3.51,6.22,1.62,1.62,1.44,60.0,65,82
26,2153472,2023-08-30 00:06:45,0.05,79.21,219.94,71.84,84.22,3.81,3.48,5.42,1.62,1.62,1.5,59.98,65,82
27,2153474,2023-08-30 00:07:00,0.05,79.09,220.3,71.92,84.23,3.79,3.5,5.44,1.62,1.61,1.5,59.98,65,82
28,2153479,2023-08-30 00:07:15,0.05,79.42,220.54,72.08,84.43,3.8,3.49,5.44,1.63,1.62,1.5,60.05,65,82
29,2153484,2023-08-30 00:07:30,0.05,79.15,219.86,71.66,83.94,3.79,3.49,5.4,1.62,1.61,1.5,59.94,65,82
30,2153487,2023-08-30 00:07:45,0.05,79.2,220.23,71.96,84.28,3.81,3.51,5.46,1.62,1.61,1.49,59.98,65,82
31,2153492,2023-08-30 00:08:00,0.05,79.18,220.42,71.93,84.2,3.79,3.49,5.44,1.63,1.62,1.5,59.99,65,82
32,2153496,2023-08-30 00:08:15,0.05,79.38,220.59,72.02,84.34,3.83,3.51,5.46,1.62,1.61,1.49,60.01,65,82
33,2153498,2023-08-30 00:08:30,0.05,79.26,220.32,71.84,80.2,3.26,3.47,4.97,1.68,1.62,1.51,60.0,65,82
34,2153502,2023-08-30 00:08:45,0.05,75.66,220.51,72.64,80.57,2.77,2.94,5.04,1.71,1.68,1.51,60.02,65,82
35,2153506,2023-08-30 00:09:00,0.04,75.63,220.36,72.44,80.23,2.76,2.92,4.98,1.71,1.68,1.51,59.99,65,82
36,2153511,2023-08-30 00:09:15,0.04,75.77,220.67,72.65,80.47,2.78,2.96,5.02,1.71,1.68,1.51,60.03,65,82
37,2153515,2023-08-30 00:09:30,0.04,75.63,220.61,72.55,80.26,2.75,2.94,4.99,1.72,1.68,1.51,60.01,65,82
38,2153518,2023-08-30 00:09:45,0.04,75.57,220.77,72.57,80.33,2.76,2.97,5.02,1.71,1.68,1.51,59.99,65,82
39,2153522,2023-08-30 00:10:00,0.04,75.71,220.92,72.65,80.53,2.75,2.95,5.03,1.72,1.68,1.51,60.04,65,82
40,2153527,2023-08-30 00:10:15,0.04,75.61,221.17,72.65,80.86,2.77,2.94,5.09,1.71,1.68,1.51,60.02,65,82
41,2153530,2023-08-30 00:10:30,0.05,75.84,221.36,70.65,80.78,2.8,3.48,5.1,1.71,1.61,1.51,60.06,65,82
42,2153534,2023-08-30 00:10:45,0.05,75.84,221.39,70.6,80.47,2.81,3.49,5.05,1.71,1.61,1.51,60.03,65,82
43,2153539,2023-08-30 00:11:00,0.05,75.59,221.15,70.27,80.23,2.8,3.44,5.05,1.71,1.61,1.51,59.94,65,82
